Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
105,tt9362722,2021-12-05,2021-12-05,,"Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",https://www.imdb.com/title/tt9362722/,Movie,8.5,140,2023,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",516178,2023-06-02,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",,
106,tt13320622,2021-12-17,2021-12-17,,"The Lost City","The Lost City",https://www.imdb.com/title/tt13320622/,Movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",175859,2022-03-25,"Aaron Nee, Adam Nee",,
107,tt10954984,2022-02-14,2022-02-14,,"Nope","Nope",https://www.imdb.com/title/tt10954984/,Movie,6.8,130,2022,"Horror, Mystery, Sci-Fi, Thriller",313901,2022-07-22,"Jordan Peele",,
108,tt0120770,2022-03-19,2022-03-19,,"A Night at the Roxbury","A Night at the Roxbury",https://www.imdb.com/title/tt0120770/,Movie,6.2,82,1998,"Comedy, Music, Romance",68868,1998-10-02,"John Fortenberry",,
109,tt1298649,2022-03-19,2022-03-19,,"The Watch","The Watch",https://www.imdb.com/title/tt1298649/,Movie,5.7,102,2012,"Comedy, Sci-Fi",137634,2012-07-27,"Akiva Schaffer",,
110,tt12593682,2022-06-08,2022-06-08,,"Bullet Train","Bullet Train",https://www.imdb.com/title/tt12593682/,Movie,7.3,127,2022,"Action, Comedy, Thriller",530621,2022-08-05,"David Leitch",,
111,tt10640346,2022-09-15,2022-09-15,,"Babylon","Babylon",https://www.imdb.com/title/tt10640346/,Movie,7.1,189,2022,"Comedy, Drama",205126,2022-12-23,"Damien Chazelle",,
112,tt10999120,2022-10-13,2022-10-13,,"Spirited","Spirited",https://www.imdb.com/title/tt10999120/,Movie,6.6,127,2022,"Comedy, Family, Fantasy, Musical",59447,2022-11-18,"Sean Anders",,
113,tt0817177,2023-01-08,2023-01-08,,"Flipped","Flipped",https://www.imdb.com/title/tt0817177/,Movie,7.7,90,2010,"Comedy, Drama, Romance",107754,2010-09-10,"Rob Reiner",,
114,tt1016150,2023-01-24,2023-01-24,,"All Quiet on the Western Front","Im Westen nichts Neues",https://www.imdb.com/title/tt1016150/,Movie,7.8,148,2022,"Drama, History, War",313520,2022-10-28,"Edward Berger",,
115,tt1630029,2023-01-24,2023-01-24,,"Avatar: The Way of Water","Avatar: The Way of Water",https://www.imdb.com/title/tt1630029/,Movie,7.5,192,2022,"Animation, Action, Adventure, Fantasy, Sci-Fi",606544,2022-12-16,"James Cameron",,
116,tt14444726,2023-01-25,2023-01-25,,"Tár","Tár",https://www.imdb.com/title/tt14444726/,Movie,7.4,158,2022,"Drama, Music",109139,2022-10-28,"Todd Field",,
117,tt4534598,2023-03-19,2023-03-19,,"Legend of Destruction","Legend of Destruction",https://www.imdb.com/title/tt4534598/,Movie,7.9,93,2021,"Animation",321,2024-06-04,"Gidi Dar",,
118,tt0119972,2023-04-12,2023-04-12,,"Quatre garçons pleins d'avenir","Quatre garçons pleins d'avenir",https://www.imdb.com/title/tt0119972/,Movie,6.1,90,1997,"Comedy",948,1997-08-06,"Jean-Paul Lilienfeld",,
